名称,面积,租价,房型,位置
惠新西街南口 安贞门 中建财富大厦 环宇荟 北三医院,44㎡,6300,1  室  1  厅,"
                    小关东里8号院                "
阎村燕化星城健德二里2室1厅,70㎡,2000,2  室  1  厅,"
                    燕化星城健德二里                "
果园地铁  好房必看 世纪星城 价格优质两居  带车位,102㎡,4999,2  室  2  厅,"
                    世纪星城                "
良乡天恒.绿湾星苑13号院2室1厅,74.49㎡,3200,2  室  1  厅,"
                    天恒.绿湾星苑13号院                "
马连道马连道中里一区2室1厅,65㎡,6600,2  室  1  厅,"
                    马连道中里一区                "
阎村燕化星城健德四里2室1厅,84.57㎡,2600,2  室  1  厅,"
                    燕化星城健德四里                "
陶然亭天桥北里1室1厅,56.3㎡,6000,1  室  1  厅,"
                    天桥北里                "
北邮北师大附近  小西天  文慧园精装一居出租看房联系,52.85㎡,6900,1  室  1  厅,"
                    文慧园公寓                "
合立方,55㎡,7200,0  室  0  厅,"
                    合立方                "
大悦城珠江罗马嘉园西区1室0厅,68㎡,7500,1  室  0  厅,"
                    珠江罗马嘉园西区                "
距离地铁站1000米,60㎡,5000,1  室  1  厅,"
                    天通苑本二区                "
皂君庙农科院教师家属楼3室1厅,79.5㎡,12500,3  室  1  厅,"
                    农科院教师家属楼                "
长阳熙悦山澜庭纯南两居，精装修,85㎡,4600,2  室  1  厅,"
                    熙悦山南区                "
中央别墅区天裕昕园2室1厅,85㎡,4700,2  室  1  厅,"
                    天裕昕园                "
安华桥地铁口8号线旁边朝南一居，随时入住,42㎡,5600,1  室  1  厅,"
                    安华西里一区                "
健翔桥华严北里9号院2室1厅,65㎡,6400,2  室  1  厅,"
                    华严北里9号院                "
大兴天宫院 龙湖时代天街 3室2厅  南北通透  随时看房,136㎡,7000,3  室  2  厅,"
                    龙湖时代天街                "
天通苑天通苑本二区2室1厅,86㎡,5500,2  室  1  厅,"
                    天通苑本二区                "
房山城关兴房东里3室1厅,80㎡,2500,3  室  1  厅,"
                    兴房东里                "
梨园 花涧溪 温馨两居 南北通透 家具齐全 店长特别推荐！,83.4㎡,4500,2  室  1  厅,"
                    花涧溪                "
精装电梯房近地铁7号线南楼梓庄可长租随时看房,60㎡,6000,1  室  1  厅,"
                    官悦欣园A区                "
双井九龙花园3室2厅,146㎡,12000,3  室  2  厅,"
                    九龙花园                "
军博地铁 长安街 玉渊潭公园 长安街中联部宿舍三室一厅,130㎡,23000,3  室  1  厅,"
                    中联部宿舍                "
木樨地真武庙三条2室1厅，精装修，近金融街，复兴门，广电,60㎡,7800,2  室  1  厅,"
                    真武庙三条                "
天通苑天通西苑二区2室1厅,92㎡,6000,2  室  1  厅,"
                    天通西苑二区                "
十里堡6号线 石佛营炫特嘉园二期1室1厅,58㎡,6300,1  室  1  厅,"
                    炫特嘉园二期                "
地铁边 精装修 电梯中高楼层两居室 东西通透 长期出租,118㎡,6500,2  室  1  厅,"
                    天通苑北二区                "
天通苑天通苑东二区2室1厅,76㎡,4800,2  室  1  厅,"
                    天通苑东二区                "
旧宫 清欣园2室1厅 电梯房 业主长租,92㎡,5000,2  室  1  厅,"
                    清欣园                "
知春路首都体育学院2室1厅,86㎡,8000,2  室  1  厅,"
                    首都体育学院                "
西二旗领秀新硅谷2号院2室2厅,122㎡,12000,2  室  2  厅,"
                    领秀新硅谷2号院                "
欢乐谷翠成馨园C区2室1厅,86㎡,6000,2  室  1  厅,"
                    翠成馨园C区                "
朝阳门三丰里小区2室1厅，看房方便，诚意出租,58㎡,8000,2  室  1  厅,"
                    三丰里小区                "
管庄管庄西里2室1厅,57.53㎡,4500,2  室  1  厅,"
                    管庄西里                "
宋家庄宋家庄家园二区2室1厅,69㎡,6200,2  室  1  厅,"
                    宋家庄家园二区                "
回龙观 霍营商圈地铁站 龙跃苑精致两居室 可合租 看房提前约,96.14㎡,5800,2  室  1  厅,"
                    龙跃苑二区                "
马连道常青藤嘉园1室1厅,47㎡,5500,1  室  1  厅,"
                    常青藤嘉园                "
旧宫美然绿色家园2室1厅,76.94㎡,5000,2  室  1  厅,"
                    美然绿色家园                "
天通苑天通苑本四区2室1厅,105㎡,5800,2  室  1  厅,"
                    天通苑本四区                "
国贸永安里，建外长安驿， 西北朝向大1居，看房方便，诚租,96.01㎡,11000,1  室  1  厅,"
                    长安驿                "
望京花家地小区1室1厅，SOHO，央美，望京医院，宜家,53.86㎡,6300,1  室  1  厅,"
                    花家地小区                "
月坛三里河 三里河一区 2室1厅 临月坛南街,67.2㎡,9200,2  室  1  厅,"
                    三里河一区                "
CBD建国路100号 南向两居室 无遮挡 视野好 带电梯,65㎡,7500,2  室  1  厅,"
                    建国路100号                "
紫竹桥机械科学研究院西区2室1厅,65㎡,6500,2  室  1  厅,"
                    机械科学研究院西区                "
整租·马连道常青藤嘉园1室0厅,34.46㎡,5200,1  室  0  厅,"
                    常青藤嘉园                "
广安门手帕口北街2室1厅看房随时有钥匙,55㎡,6500,2  室  1  厅,"
                    手帕口北街                "
"劲松,潘家园，劲松九区,三居室，业主管理，干净整洁，即租即住",70㎡,6500,3  室  1  厅,"
                    劲松九区                "
东直门海晟名苑北区1室1厅,72㎡,9900,1  室  1  厅,"
                    海晟名苑北区                "
回龙观融泽嘉园西6号院2室1厅,88㎡,8200,2  室  1  厅,"
                    融泽嘉园西6号院                "
良乡明源南里2室1厅,77.71㎡,2500,2  室  1  厅,"
                    明源南里                "
大望路风度柏林3室2厅精装三居室两卫 家电齐全 诚意出租,119㎡,13000,3  室  2  厅,"
                    风度柏林                "
玉泉路玉海园三里2室1厅,82.65㎡,6800,2  室  1  厅,"
                    玉海园三里                "
6号线十里堡京棉新城精装两居,82.37㎡,7900,2  室  1  厅,"
                    京棉新城                "
亚运村 小营世纪村东区一区新上精装 2室 拎包住 看房方便,85.05㎡,8000,2  室  1  厅,"
                    世纪村东区一区                "
回龙观金域华府一期2室1厅,86㎡,9000,2  室  1  厅,"
                    金域华府一期                "
八角八角南里2室1厅,68㎡,5000,2  室  1  厅,"
                    八角南里                "
广渠门东环居苑1室1厅,60.57㎡,6800,1  室  1  厅,"
                    东环居苑                "
太平桥 六里桥 西客站太平桥西里糖人街1室1厅,62㎡,6000,1  室  1  厅,"
                    糖人街                "
立水桥北方明珠精装开间随时看房,60.94㎡,5000,1  室  1  厅,"
                    北方明珠                "
西城陶然亭四平园小区1室1厅,49㎡,5500,1  室  1  厅,"
                    四平园小区                "
长阳邑上公馆1室1厅,66㎡,3100,1  室  1  厅,"
                    邑上公馆                "
劲松华腾园2室2厅,92.33㎡,8600,2  室  2  厅,"
                    华腾园                "
北三环安贞，精装南北通透两居，照片实景，看房方便！,54㎡,7300,2  室  1  厅,"
                    安华里一区                "
定福庄美然动力街区A12室1厅,97㎡,7200,2  室  1  厅,"
                    美然动力街区A1                "
安贞桥南安华里三区电梯二居室出租！,62㎡,7999,2  室  1  厅,"
                    安华里三区                "
宣武门 和平门外东街 家具家电全齐 看房方便,68.57㎡,11500,3  室  1  厅,"
                    和平门外东街                "
回龙观通达园3室1厅,131㎡,8000,3  室  1  厅,"
                    通达园                "
西红门阳光星苑南区2室1厅,74㎡,4600,2  室  1  厅,"
                    阳光星苑南区                "
良乡昊天之都3室2厅,138㎡,4500,3  室  2  厅,"
                    昊天之都                "
新天地精装三居 紧邻常营地铁站 随时看房 拎包入住,124㎡,8800,3  室  2  厅,"
                    北京新天地三期                "
甘露园甘露园南里一区1室1厅,45㎡,5500,1  室  1  厅,"
                    甘露园南里一区                "
新上好房七号线欢乐谷垡头翠成馨园C区1室0厅,60㎡,4500,1  室  0  厅,"
                    翠成馨园C区                "
马坡泰和宜园2室1厅,75㎡,3200,2  室  1  厅,"
                    泰和宜园                "
苏州桥倒座庙精装修两居 全名格局 家电家具齐全 长租3年,62㎡,9500,2  室  1  厅,"
                    倒座庙                "
五道口华清嘉园3室2厅,115㎡,18000,3  室  2  厅,"
                    华清嘉园                "
八角游乐园 拾景名苑南向正规一室一厅精装全齐,57.13㎡,5000,1  室  1  厅,"
                    拾景名苑                "
木樨园赵公口小区1室1厅,40㎡,4500,1  室  1  厅,"
                    赵公口小区                "
天通苑天通苑北三区2室2厅,110㎡,6000,2  室  2  厅,"
                    天通苑北三区                "
月坛三里河二区A区1室1厅,56.5㎡,9500,1  室  1  厅,"
                    三里河二区A区                "
双榆树北路3室1厅中关村 知春路 京东科技 中卫通 看,68.8㎡,7000,3  室  1  厅,"
                    双榆树北路                "
龙泽新龙城2室1厅,90.71㎡,7600,2  室  1  厅,"
                    新龙城                "
天通苑天通苑西三区2室1厅,102㎡,6400,2  室  1  厅,"
                    天通苑西三区                "
惠新西街南口·安贞门·皇姑坟·2室1厅,55㎡,6100,2  室  1  厅,"
                    皇姑坟                "
劲松农光里小区1室1厅,52㎡,5300,1  室  1  厅,"
                    农光里小区                "
刘家窑地铁口 刘家窑南里 精装两居 业主自住房源 看房方便,60㎡,6500,2  室  1  厅,"
                    刘家窑南里                "
中关村科育小区精装一居,40㎡,6300,1  室  1  厅,"
                    科育小区                "
方庄方安苑2室1厅,89.97㎡,6800,2  室  1  厅,"
                    方安苑                "
窦店水墨林溪 南北通透 户型方正 集中供暖,93.45㎡,2600,2  室  2  厅,"
                    腾龙家园二区                "
长阳加州水郡西区三期3室1厅,115.58㎡,4500,3  室  1  厅,"
                    加州水郡西区三期                "
立水桥溪城家园2号院3室1厅,87㎡,6350,2  室  1  厅,"
                    溪城家园2号院                "
新上欢乐谷七号线南楼梓庄站世纪东方城1室1厅,55㎡,5000,1  室  1  厅,"
                    世纪东方城                "
融科畅游大厦 八角游乐园 八角中里简装两居室,60㎡,4000,2  室  1  厅,"
                    八角中里                "
临河里华业东方玫瑰A区1室0厅,32㎡,3200,1  室  0  厅,"
                    华业东方玫瑰A区                "
八角游乐园 融科畅游大厦 八角南里南北通透两居室 中楼层,60㎡,4600,2  室  1  厅,"
                    八角南里                "
右安门外 万达对面 玉林里2室1厅 首医附近,60㎡,5000,2  室  1  厅,"
                    玉林里                "
地铁6号线，武夷花园三元村精装3居半空房。看房随时,130㎡,4300,3  室  1  厅,"
                    三元村                "
金融街 西直门地铁 枫蓝国际 金晖嘉园3室2厅2卫带车位出租,136.78㎡,26000,3  室  2  厅,"
                    金晖嘉园                "
甘露园朝阳无限1室1厅,60㎡,6000,1  室  1  厅,"
                    朝阳无限                "
甜水园甜水园东里1室1厅,50㎡,5600,1  室  1  厅,"
                    甜水园东里                "
望京世安家园1室1厅望京西站 南向精装一居室 公园环绕,49.53㎡,6400,1  室  1  厅,"
                    世安家园                "
新华大街永顺西里1室1厅,62.7㎡,3600,1  室  1  厅,"
                    永顺西里                "
安贞西里朝南一居室，明厨明卫，可长租，安华桥北土城安贞门地铁,41.94㎡,6600,1  室  1  厅,"
                    安贞西里四区                "
北京西站马连道湾子地铁旁，信和嘉园两居室。,100.07㎡,11000,2  室  1  厅,"
                    信和嘉园                "
阎村腾龙家园三区2室2厅,94㎡,2500,2  室  2  厅,"
                    腾龙家园三区                "
长龙苑南北通透两居室  包入住 看房随时 南北双阳台,80㎡,3100,1  室  1  厅,"
                    长龙苑小区                "
果园地铁 广渠路通州北苑长城国际一居室 电梯房燃气入户,54㎡,3700,1  室  1  厅,"
                    长城国际                "
八通线双桥传媒珠江绿洲家园3室1厅 装修干净 随时入住,113.54㎡,8500,3  室  1  厅,"
                    珠江绿洲家园                "
梨园时尚街区西区3室1厅,93.6㎡,5700,3  室  1  厅,"
                    时尚街区西区                "
西二旗西二旗铭科苑2室1厅,70㎡,7500,2  室  1  厅,"
                    西二旗铭科苑                "
东亿财满街定福庄绿岛苑东区2室1厅,60㎡,5600,2  室  1  厅,"
                    绿岛苑东区                "
月坛南街 中古 铁二区 三里河北街5号院 2室1厅,78㎡,12800,3  室  2  厅,"
                    三里河北街5号院                "
《《本人力荐》》国风美唐二期精装南向两室一厅，300米到地铁,91㎡,7000,2  室  1  厅,"
                    首开国风美唐二期                "
回龙观龙兴园西区1室0厅,45㎡,4500,1  室  0  厅,"
                    龙兴园西区                "
中关村数码大厦燕山当代双榆树知春里精装两居室,53.7㎡,8800,2  室  1  厅,"
                    双榆树北里                "
方庄GOGO新世代1室0厅,60㎡,6500,1  室  1  厅,"
                    GOGO新世代                "
五棵松金沟河3号院3室1厅,80㎡,8000,3  室  1  厅,"
                    金沟河3号院                "
{总监推荐}回龙观地铁旁三居双卫 看房方便,130㎡,6500,2  室  1  厅,"
                    龙腾苑二区                "
牛街小寺街61号1室1厅,40㎡,4700,1  室  1  厅,"
                    小寺街61号                "
定福庄三间房南里4号院2室1厅,75㎡,5000,2  室  1  厅,"
                    三间房南里4号院                "
方庄芳星园三区2室1厅,65㎡,6300,2  室  1  厅,"
                    芳星园三区                "
天鹅湾北区 精装 两居室 装修好 紧邻大悦城 青年路地铁站,72㎡,12200,2  室  1  厅,"
                    天鹅湾北区                "
劲松农光里小区2室1厅,58㎡,6200,2  室  1  厅,"
                    农光里小区                "
七号线 垡头站 垡头西里一区1室1厅 看房基本随时,45㎡,4200,1  室  1  厅,"
                    垡头西里一区                "
临河里华业东方玫瑰D区2室1厅,89㎡,5200,2  室  1  厅,"
                    华业东方玫瑰D区                "
一瓶,42.55㎡,5600,0  室  0  厅,"
                    一瓶                "
安贞西里、安贞西里、外馆西街、新出精装两居室、实景拍摄、精装,55㎡,7500,2  室  1  厅,"
                    安华西里三区                "
公主坟翠微南里1室1厅，万寿路玉渊潭印象城,40㎡,5100,1  室  1  厅,"
                    翠微南里                "
双桥地铁南 合美国际滨水动漫城小区 南向开间一居室 欢迎看,55㎡,4000,1  室  1  厅,"
                    滨水动漫城                "
茉藜园精装东南大一居 业主直租 看房提前约,65.84㎡,6100,1  室  1  厅,"
                    茉藜园                "
后沙峪金成雅苑2室1厅,89㎡,4500,2  室  1  厅,"
                    金成雅苑                "
房山城关马各庄村西2室1厅,55.96㎡,1900,2  室  1  厅,"
                    马各庄村西                "
甜水园延静里1室1厅,38㎡,5200,1  室  1  厅,"
                    延静里                "
望京炫彩嘉轩一居室 家具齐全,37㎡,6400,1  室  0  厅,"
                    炫彩嘉轩                "
天通苑天通苑本五区2室1厅天通苑天通苑本五区2室1厅,94㎡,5700,2  室  1  厅,"
                    天通苑本五区                "
酒仙桥梵谷水郡2室1厅,81㎡,7200,2  室  1  厅,"
                    梵谷水郡                "
崇文门法华南里1室1厅,42.93㎡,5500,1  室  1  厅,"
                    法华南里                "
朝阳大悦城 华纺易城两室一厅一厨一卫 可长租 随时看房,94㎡,8800,2  室  1  厅,"
                    华纺易城                "
长阳徜徉嘉园祥云街6号院3室1厅,92.17㎡,4500,3  室  1  厅,"
                    徜徉嘉园祥云街6号院                "
方庄地铁口精装修一居室  看房随时,44㎡,4800,1  室  1  厅,"
                    10AM新坐标                "
木樨园赵公口小区2室1厅,58㎡,4500,2  室  1  厅,"
                    赵公口小区                "
石榴庄宋家庄 石榴园南里低楼层2室1厅,65㎡,5500,2  室  1  厅,"
                    石榴园南里                "
回龙观霍营 龙禧苑一区 2室1厅 地铁8号线育知路站 二居室,99㎡,7500,2  室  1  厅,"
                    龙禧苑一区                "
天通苑天通苑北二区2室1厅,112㎡,6600,2  室  1  厅,"
                    天通苑北二区                "
和义和义东里2室1厅,60㎡,4000,2  室  1  厅,"
                    和义东里                "
14号线方庄地铁站  芳星园一区 精装朝南正规一室一厅,48㎡,5000,1  室  1  厅,"
                    芳星园一区                "
甘家口 紧邻白石桥南地铁 车公庄西路20号院3室1厅,98㎡,12500,3  室  1  厅,"
                    车公庄西路20号院                "
北关天赐良园西一期2室2厅,94㎡,6500,2  室  1  厅,"
                    天赐良园西一期                "
酒仙桥飘HOME1室0厅,40㎡,6500,1  室  0  厅,"
                    飘HOME                "
房山城关永乐园三里2室1厅,88.49㎡,2000,2  室  1  厅,"
                    永乐园三里                "
房山城关矿机西门2室1厅,53.59㎡,1600,2  室  1  厅,"
                    矿机西门                "
永定门外14号线西罗园四区精装俩居看房提前预约,68㎡,5500,2  室  1  厅,"
                    西罗园四区                "
房山城关矿机路2室1厅,50.23㎡,2000,2  室  1  厅,"
                    矿机路                "
紫竹桥人济山庄4室2厅 中海紫金苑 广源大厦 紫竹院公园,189㎡,25000,4  室  2  厅,"
                    人济山庄                "
百子湾 金都杭城东区全南向两居室全天采光无遮挡家具家电齐全,89㎡,12800,2  室  1  厅,"
                    金都杭城东区                "
安定门华府景园4室2厅,220㎡,31000,4  室  2  厅,"
                    华府景园                "
百子湾沿海赛洛城五期2室1厅,98㎡,9200,2  室  1  厅,"
                    沿海赛洛城五期                "
酒仙桥精装两居室， 临近地铁14号线，有钥匙，随时入住,75㎡,7500,2  室  1  厅,"
                    酒仙桥中路3号院                "
望京上京新航线精装修大三居 近地铁 小区人车分流,139㎡,15000,3  室  2  厅,"
                    上京新航线                "
地铁六号线黄渠站，苹果派2室1厅  集中供暖  拎包入住,76㎡,6800,2  室  1  厅,"
                    苹果派                "
西红门瑞海家园一区2室1厅,97㎡,5500,2  室  1  厅,"
                    瑞海家园一区                "
房山城关 福胜家园 3室1厅 南北通透 诚心出租,120.12㎡,2700,3  室  1  厅,"
                    福胜家园                "
西红门阳光星苑北区2室1厅,74㎡,5000,2  室  1  厅,"
                    阳光星苑北区                "
木樨地真武家园2室1厅,70㎡,15500,2  室  1  厅,"
                    真武家园                "
大红门南顶村邮局宿舍3室1厅,70㎡,6300,3  室  1  厅,"
                    南顶村邮局宿舍                "
酒仙桥 东风北桥 东方科技园 附近精装两居室 泰华滨河苑,105㎡,9000,2  室  1  厅,"
                    泰华滨河苑                "
北七家望都家园3室2厅,139㎡,6200,3  室  2  厅,"
                    望都家园                "
1号线  管庄地铁边  远洋一方精装一居室 集中供暖,60㎡,4800,1  室  1  厅,"
                    远洋一方润园3号院                "
苹果园雍景四季2室1厅,92㎡,7800,2  室  1  厅,"
                    雍景四季                "
安华桥安华西里三区三居室精装修拎包入住看房方便长期稳定出租,61.76㎡,8500,3  室  1  厅,"
                    安华西里三区                "
良乡长虹小区2室1厅,85㎡,3000,2  室  1  厅,"
                    长虹小区                "
旧宫清和园2室1厅,72㎡,4300,2  室  1  厅,"
                    清和园                "
刘家窑横五条2室1厅,55㎡,5000,2  室  1  厅,"
                    横五条                "
枣园滨河西里2室1厅,60㎡,3600,2  室  1  厅,"
                    滨河西里                "
朝阳公园亮马桥东风北桥地铁站酒仙桥瞰都燕莎后东润枫景3居出租,130㎡,12800,3  室  2  厅,"
                    东润枫景                "
回龙观首开国风美唐二期2室1厅,96㎡,7000,2  室  1  厅,"
                    首开国风美唐二期                "
安贞里 精装修两居室 随时看 可长租,71.25㎡,8000,2  室  1  厅,"
                    安贞里小区                "
鲁谷六合园2室1厅石景山鲁谷六合园精装两居室南北通透,65㎡,5000,2  室  1  厅,"
                    六合园                "
双井国贸，百子湾7号线，沿海南区，精装开间，南向采光好,55.68㎡,5900,1  室  1  厅,"
                    沿海赛洛城二期                "
崇文门新景家园东区1室1厅,59.73㎡,6800,1  室  1  厅,"
                    新景家园东区                "
北关 财贸学属楼，一层南北向,75㎡,3700,2  室  1  厅,"
                    财贸学院家属楼                "
双桥双柳巷小区2室1厅,75㎡,5500,2  室  1  厅,"
                    双柳巷小区                "
大悦城珠江罗马嘉园西区3室2厅,148㎡,14000,3  室  2  厅,"
                    珠江罗马嘉园西区                "
西坝河西坝河北里2室1厅,60㎡,6500,2  室  1  厅,"
                    西坝河北里                "
定慧寺定慧北里2室1厅,65㎡,7300,2  室  1  厅,"
                    定慧北里                "
广渠门内大街，东花市富贵园二区2室1厅，拎包入住。,76.89㎡,7800,2  室  1  厅,"
                    富贵园二区                "
四惠梧桐人家1室1厅,71㎡,6100,1  室  1  厅,"
                    梧桐人家                "
回龙观新龙城大开间 紧邻地铁13号线龙泽 随时看房入住,47㎡,5300,1  室  0  厅,"
                    新龙城                "
方庄 芳城东里 复式户型 南北通透 三居室,106㎡,9800,3  室  1  厅,"
                    芳城东里                "
整租·豆瓣胡同·2室1厅·西南向,72㎡,9500,2  室  1  厅,"
                    豆瓣胡同                "
管庄华龙美树2室1厅,93㎡,7800,2  室  1  厅,"
                    华龙美树                "
马连道马连道中里三区2室1厅,60㎡,6800,2  室  1  厅,"
                    马连道中里三区                "
良乡拱辰星园2室1厅,93.26㎡,3500,2  室  1  厅,"
                    拱辰星园                "
卢沟桥晓月苑三里2室1厅,77㎡,4200,2  室  1  厅,"
                    晓月苑三里                "
旧宫旧宫北里3室1厅,116㎡,6500,3  室  1  厅,"
                    旧宫北里                "
鲁谷六合园2室1厅石景山鲁谷六合园精装两居室南北通透,68㎡,5500,2  室  1  厅,"
                    六合园                "
中关村远中悦莱国际酒店公寓1室1厅,75㎡,12500,1  室  1  厅,"
                    远中悦莱国际酒店公寓                "
牛街南横西街1室1厅,42㎡,5500,1  室  1  厅,"
                    南横西街                "
林萃桥北沙滩奥林匹克公园汽修一厂宿舍1室1厅,45㎡,5000,1  室  1  厅,"
                    汽修一厂宿舍                "
天通苑天通苑北三区2室1厅,112㎡,6600,2  室  1  厅,"
                    天通苑北三区                "
房山城关矿机东门2室1厅,74.91㎡,1400,2  室  1  厅,"
                    矿机东门                "
王府井王府井平房区1室1厅,50㎡,6500,1  室  1  厅,"
                    王府井平房区                "
西三环六里桥地铁10号线9号线永翌公馆2室1厅,98.01㎡,8800,2  室  1  厅,"
                    永翌公馆                "
三里屯北三里屯社区东向主卧,20㎡,3800,1  室  1  厅,"
                    北三里屯社区                "
安贞安华西里二区2居安华桥地铁站,58㎡,7300,2  室  1  厅,"
                    安华西里二区                "
学院路逸成东苑2室1厅,114㎡,11000,2  室  1  厅,"
                    逸成东苑                "
德胜门 新街口外大街甲8号院 师大东门 新风街 一层,74.6㎡,12200,3  室  1  厅,"
                    新街口外大街甲8号院                "
良乡行宫西街2号院3室1厅,93㎡,3100,3  室  1  厅,"
                    行宫西街2号院                "
刘家窑地铁口 恒松园 东南向精装修两居室 随时看房入住,89.23㎡,6800,2  室  1  厅,"
                    恒松园                "
枣园滨河西里3室2厅,126.66㎡,6200,3  室  2  厅,"
                    滨河西里                "
枣园彩虹新城2室1厅，家具家电全齐，看房方便,81.13㎡,5000,2  室  1  厅,"
                    彩虹新城                "
百子湾百子湾家园B区2室1厅,99㎡,7700,2  室  1  厅,"
                    百子湾家园B区                "
东大桥向军北里3室1厅,69.56㎡,9500,3  室  2  厅,"
                    向军北里                "
安贞 北土城地铁 临元大都公园  近安贞医院,68㎡,7690,2  室  1  厅,"
                    鼓楼外大街1、3号楼                "
惠新西街南口 小关北里精装一居室 大客厅 看房有钥匙,60㎡,4200,1  室  1  厅,"
                    小关北里                "
定慧寺 航天桥 北肿 定慧寺东里精装1居室,48㎡,6000,1  室  1  厅,"
                    定慧寺东里                "
北苑华发颐园1室0厅,59.53㎡,6000,1  室  0  厅,"
                    华发颐园                "
天通苑天通西苑二区2室0厅,86㎡,6200,2  室  0  厅,"
                    天通西苑二区                "
立水桥合立方2室1厅,76.98㎡,6600,2  室  1  厅,"
                    合立方                "
洋桥首座绿洲1室1厅,61.89㎡,5400,1  室  1  厅,"
                    首座绿洲                "
西坝河光熙家园2室1厅,98㎡,12000,2  室  1  厅,"
                    光熙家园                "
西悦欣居  南北两居  家具家电 齐全 看房方便,88.59㎡,4100,2  室  1  厅,"
                    西悦欣居                "
广安门荣丰20081室1厅,31.16㎡,5600,1  室  1  厅,"
                    荣丰2008                "
4号线7号线地铁附近 陶然亭虎坊路小区南向大一居1层,45㎡,5100,1  室  1  厅,"
                    虎坊路小区                "
安苑东里 一居室出租 带电梯 宽敞干净家具家电齐全 紧邻地铁,40㎡,6200,1  室  0  厅,"
                    典藏E居                "
两居 泰福苑 6号线褡裢坡地铁旁,86㎡,6300,2  室  1  厅,"
                    泰福苑                "
魏公村 天作国际 精装修 一居室,38.65㎡,7200,1  室  1  厅,"
                    天作国际                "
朝阳门新中西街1室1厅,45㎡,5600,1  室  1  厅,"
                    新中西街                "
北土城 安华桥 裕中东里精装两居室 可长租 家电齐全,60.5㎡,7600,2  室  1  厅,"
                    裕中东里小区                "
和平里  民旺园精装修两居室,56.2㎡,6600,2  室  1  厅,"
                    民旺园                "
双井广渠门外大街2室1厅,58.39㎡,7000,2  室  1  厅,"
                    广渠门外大街                "
霍营8号线 上坡佳园2室1厅 装修好随时可住有钥匙,83㎡,6000,2  室  1  厅,"
                    上坡佳园                "
东城，左安门火桥北里，精装两居，家具齐全，随时看房。,55㎡,5900,2  室  1  厅,"
                    火桥北里                "
宣武门椿树园小区1室1厅,48㎡,6900,1  室  1  厅,"
                    椿树园小区                "
中关村科育小区精装三居室，低楼层，价格超便宜,69㎡,10500,3  室  1  厅,"
                    科育小区                "
安贞安华里五区2室 外馆斜街 柳荫公园 蒋宅口 环球贸易,59㎡,7200,2  室  1  厅,"
                    安华里五区                "
方庄芳城园二区1室1厅,68.6㎡,5000,1  室  1  厅,"
                    芳城园二区                "
白石桥南地铁6.9号线紫竹院14号院3室 有车位,80㎡,11000,3  室  1  厅,"
                    紫竹院14号院                "
窦店水墨林溪  南北通透户型方正,141.34㎡,2600,2  室  2  厅,"
                    腾龙家园二区                "
绿城百合梦泉苑三居室 南北向 空房出租,129.27㎡,4000,3  室  2  厅,"
                    绿城百合公寓梦泉苑                "
地铁10号线 金尚嘉园 北医大宿舍1室1厅长租拎包住,63.06㎡,9500,1  室  1  厅,"
                    金尚嘉园                "
德胜门马甸桥东裕中西里精装修两居室看房方便能长租,54.2㎡,7700,2  室  1  厅,"
                    裕中西里                "
清河花园楼小区2室1厅,55㎡,5500,2  室  1  厅,"
                    花园楼小区                "
丰益桥盛鑫嘉园2室1厅,103㎡,7700,2  室  1  厅,"
                    盛鑫嘉园                "
北苑万科星园3室1厅,136㎡,14500,3  室  1  厅,"
                    万科星园                "
回龙观 新龙城精装三居室 龙泽地铁13号线 电梯楼,20㎡,2800,1  室  1  厅,"
                    新龙城                "
东坝奥林匹克花园三期精装修三居家具家电全齐  带车位出租,126㎡,10000,3  室  2  厅,"
                    奥林匹克花园三期                "
鲁谷诗景长安2室1厅 干净整齐 电器家具 拎包入住,90㎡,6800,2  室  1  厅,"
                    诗景长安                "
和平里和平街十五区2室1厅,64.04㎡,7000,2  室  1  厅,"
                    和平街十五区                "
东会新村精装两居 紧邻管庄地铁站 周边配套齐全 随时看房,67.37㎡,4800,2  室  1  厅,"
                    东会新村                "
长阳熙悦山南区2室1厅,70㎡,4500,2  室  1  厅,"
                    熙悦山南区                "
五道口东王庄小区南北通透三居室 看房随时,74㎡,11600,3  室  1  厅,"
                    东王庄小区                "
良乡苏庄二里3室1厅，南北通透看房方便。,118㎡,3800,3  室  1  厅,"
                    苏庄二里                "
呼家楼地铁 团结湖公园对面 正规两居,59.34㎡,6400,2  室  1  厅,"
                    水碓子社区                "
新上，天坛东门，左安门东四块玉南街3室1厅，随时看房,70.67㎡,7200,3  室  1  厅,"
                    东四块玉南街                "
安贞胜古家园一居室，环球贸易，5号线和平西桥站，安贞大厦,63㎡,7900,1  室  1  厅,"
                    胜古家园                "
第三区,70.9㎡,8500,0  室  0  厅,"
                    第三区                "
东城龙潭湖西门 左安门内大街左安浦园2室1厅,93㎡,7000,2  室  1  厅,"
                    左安浦园                "
太平桥太平桥西里2室1厅,61㎡,6000,2  室  1  厅,"
                    太平桥西里                "
三元桥 燕莎 新源街3室1厅,58㎡,8500,3  室  1  厅,"
                    新源街                "
窦店沁园·春景2室1厅,79.16㎡,2300,2  室  1  厅,"
                    沁园·春景                "
天通苑北一区地铁边双卫三居，随时能看，可以同事朋友合住，,114㎡,8000,3  室  2  厅,"
                    天通苑北一区                "
房山城关城关南里2室1厅,72.82㎡,1800,3  室  1  厅,"
                    城关南里                "
